UNIQ,PROBDENSITY,RA,DEC
1422,1.2947201770266155e-14,109.6875,35.68533471265205
1423,1.1199157163731824e-14,112.5,38.68218745348944
1424,2.3933273594506177e-13,123.74999999999999,32.797168295823646
1425,1.8130549813554796e-13,126.5625,35.68533471265205
1426,8.141938721427012e-14,120.9375,35.68533471265205
1427,6.048097153222363e-14,123.74999999999999,38.68218745348944
1428,1.267497632620723e-13,129.375,38.68218745348944
1429,8.042719474386618e-14,132.1875,41.810314895778596
1430,4.0291211967089696e-14,126.5625,41.810314895778596
1431,2.4216224187630722e-14,129.00000000000003,44.99388015045712
1432,2.6661674898096796e-14,118.125,38.68218745348944
1433,1.9171535823527092e-14,120.9375,41.810314895778596
1434,8.824928327975694e-15,115.31249999999999,41.810314895778596
1435,5.827187448320092e-15,117.0,44.99388015045712
1436,1.1999366355782355e-14,122.99999999999999,44.99388015045713
1437,7.678508582871151e-15,125.35714285714286,48.14120779436028
1438,4.0232350476819815e-15,118.92857142857143,48.14120779436028
1439,3.032988937772924e-15,121.15384615384616,51.25580694880489
1440,5.20347474107699e-15,101.25,32.797168295823646
1441,5.136775760256102e-15,104.0625,35.68533471265205
1442,2.3819265000269643e-15,98.4375,35.68533471265205
1443,2.3226202785057608e-15,101.25,38.68218745348944
1444,4.79398935260691e-15,106.875,38.68218745348944
1445,4.1652377162808555e-15,109.6875,41.810314895778596
1446,2.2225195924818126e-15,104.0625,41.810314895778596
1447,1.8242594373694217e-15,105.0,44.99388015045712
1448,1.5245922876678822e-15,95.625,38.68218745348944
1449,1.5291275596025747e-15,98.4375,41.810314895778596
1450,1.5609191746501768e-15,92.8125,41.810314895778596
1451,1.9195179235381177e-15,93.0,44.99388015045712
1452,1.4914014689480383e-15,99.0,44.99388015045712
1453,1.6617584935157323e-15,99.64285714285714,48.14120779436028
1454,2.7174042686426062e-15,93.21428571428571,48.14120779436028
1455,4.601197429596392e-15,93.46153846153845,51.25580694880489
1456,3.0083362178729618e-15,111.0,44.99388015045712
1457,2.3612442745345568e-15,112.5,48.14120779436028
1458,1.6738968341873788e-15,106.07142857142857,48.14120779436028
1459,1.71723708544605e-15,107.3076923076923,51.25580694880489
1460,2.023336395985736e-15,114.23076923076923,51.25580694880489
1461,1.9518686050828156e-15,116.25,54.34091230386123
1462,2.025047069652361e-15,108.75,54.34091230386123
1463,2.737513748006638e-15,110.45454545454545,57.39952353962293
1464,2.1297309208923782e-15,100.38461538461539,51.25580694880489
1465,3.107729352279667e-15,101.25,54.34091230386123
1466,9.221205480967555e-15,93.75,54.34091230386124
1467,2.2310061028678985e-14,94.0909090909091,57.39952353962293
1468,5.3341636151011004e-15,102.27272727272727,57.39952353962295
1469,1.0637715077757037e-14,103.5,60.434438844952275
1470,6.60758670514465e-14,94.5,60.434438844952275
1471,2.3863957630433e-13,95.0,63.44828368030105
1472,4.636202972639972e-14,135.0,44.99388015045713
1473,2.4769004375362155e-14,138.21428571428572,48.14120779436028
1474,1.4840926528028222e-14,131.78571428571428,48.14120779436028
1475,8.905853631114088e-15,135.0,51.25580694880489
1476,1.29771764400182e-14,141.9230769230769,51.25580694880489
1477,8.239753506146468e-15,146.25,54.34091230386123
1478,5.219042984425468e-15,138.75,54.34091230386123
1479,3.80795032818892e-15,143.1818181818182,57.39952353962293
1480,5.24969927123379e-15,128.07692307692307,51.25580694880489
1481,3.8913035069644e-15,131.25,54.34091230386123
1482,2.5535067116526464e-15,123.74999999999999,54.34091230386124
1483,2.469813311632679e-15,126.81818181818183,57.39952353962293
1484,3.0363978437500126e-15,135.0,57.39952353962295
1485,2.6048205056888108e-15,139.5,60.434438844952275
1486,2.849453488248455e-15,130.5,60.434438844952275
1487,3.4815769219855615e-15,135.0,63.44828368030105
1488,6.606645802525156e-15,151.36363636363635,57.39952353962293
1489,3.621345229317133e-15,157.5,60.434438844952275
1490,3.955498743995906e-15,148.5,60.434438844952275
1491,4.50812955597078e-15,155.0,63.44828368030105
